"CVaR";"mean";"Sharp";"BPAN4.SA";"BBDC3.SA";"BBDC4.SA";"BBAS3.SA";"ITSA4.SA";"ITUB4.SA";"SANB11.SA";"B3SA3.SA";"CIEL3.SA";"SULA11.SA";"BRML3.SA";"MULT3.SA"
"1";0,1528;0,0038;-0,0335;0;0;0;0;0;0;0;0;0;0;1;0
"2";0,1163;0,004;-0,0397;0;0;0;0;0;0;0;0,1495;0,3764;0;0,4741;0
"3";0,113;0,0042;-0,0393;0,0361;0;0;0;0;0;0;0,1414;0,3856;0;0,437;0
"4";0,11;0,0044;-0,0398;0,0696;0;0;0;0;0;0;0,134;0,3885;0,0017;0,4062;0
"5";0,1078;0,0046;-0,0378;0,0701;0;0;0;0;0;0;0,1304;0,3842;0,0221;0,3932;0
"6";0,1058;0,0047;-0,0356;0,0705;0;0;0;0;0;0;0,1272;0,3794;0,036;0,377;0,0099
"7";0,1044;0,0049;-0,0338;0,0708;0;0;0;0;0;0;0,1244;0,3741;0,0433;0,3573;0,0301
"8";0,1031;0,0051;-0,0315;0,0711;0;0;0;0;0;0;0,1216;0,3689;0,0506;0,3377;0,0502
"9";0,1022;0,0053;-0,0301;0,0714;0;0;0;0;0;0;0,1187;0,3636;0,0579;0,318;0,0703
"10";0,1013;0,0055;-0,0287;0,0717;0;0;0;0;0;0;0,1159;0,3584;0,0652;0,2983;0,0905
"11";0,1005;0,0057;-0,0272;0,072;0;0;0;0;0;0;0,1131;0,3531;0,0725;0,2787;0,1106
"12";0,0997;0,0058;-0,0252;0,0723;0;0;0;0;0;0;0,1102;0,3479;0,0798;0,259;0,1308
"13";0,0993;0,006;-0,0236;0,0726;0;0;0;0;0;0;0,1074;0,3426;0,0871;0,2394;0,1509
"14";0,0991;0,0062;-0,0221;0,0729;0;0;0;0;0;1e-04;0,1046;0,3373;0,0943;0,2198;0,171
"15";0,0987;0,0064;-0,0204;0,0729;0;0;0;0;0;0,0039;0,1013;0,332;0,0998;0,2007;0,1895
"16";0,0984;0,0066;-0,0186;0,073;0;0;0;0;0;0,0076;0,098;0,3266;0,1053;0,1816;0,2079
"17";0,0981;0,0068;-0,0168;0,073;0;0;0;0;0;0,0113;0,0948;0,3213;0,1108;0,1625;0,2263
"18";0,0978;0,0069;-0,0146;0,0731;0;0;0;0;0;0,015;0,0915;0,3159;0,1163;0,1435;0,2448
"19";0,0975;0,0071;-0,0123;0,0731;0;0;0;0;0;0,0187;0,0882;0,3105;0,1217;0,1244;0,2632
"20";0,0972;0,0073;-0,0099;0,0732;0;0;0;0;0;0,0224;0,0849;0,3052;0,1272;0,1053;0,2817
"21";0,0969;0,0075;-0,0076;0,0733;0;0;0;0;0;0,0262;0,0817;0,2998;0,1327;0,0863;0,3001
"22";0,0966;0,0077;-0,0052;0,0733;0;0;0;0;0;0,0299;0,0784;0,2945;0,1382;0,0672;0,3186
"23";0,0963;0,0079;-0,0028;0,0734;0;0;0;0;0;0,0336;0,0751;0,2891;0,1437;0,0481;0,337
"24";0,0961;0,008;-3e-04;0,0734;0;0;0;0,0019;0;0,0366;0,0717;0,2837;0,149;0,029;0,3547
"25";0,096;0,0082;0,0022;0,0734;0;0;0;0,0052;0;0,0392;0,0681;0,2782;0,1543;0,0099;0,3718
"26";0,0962;0,0084;0,0048;0,072;0;0;0;0,0079;0;0,0434;0,0618;0,268;0,1628;0;0,384
"27";0,0967;0,0086;0,0075;0,0693;0;0;0;0,0101;0;0,0492;0,0527;0,2529;0,1748;0;0,3909
"28";0,0972;0,0088;0,01;0,0665;0;0;0;0,0123;0;0,0551;0,0436;0,2378;0,1868;0;0,3979
"29";0,0978;0,009;0,0124;0,0637;0;0;0;0,0145;0;0,061;0,0345;0,2227;0,1988;0;0,4048
"30";0,0983;0,0092;0,0147;0,061;0;0;0;0,0167;0;0,0668;0,0254;0,2077;0,2108;0;0,4117
"31";0,0988;0,0093;0,017;0,0582;0;0;0;0,0168;0,0021;0,0726;0,0163;0,1926;0,2228;0;0,4185
"32";0,0994;0,0095;0,0191;0,0558;0;0;0;0;0,0243;0,0766;0,0074;0,1783;0,2336;0;0,4238
"33";0,1001;0,0097;0,0211;0,0526;0;0;0;0;0,03;0,0806;0;0,1617;0,2462;0;0,4289
"34";0,1012;0,0099;0,0231;0,0476;0;0;0;0;0,0305;0,0847;0;0,1395;0,2629;0;0,4348
"35";0,1024;0,0101;0,0249;0,0425;0;0;0;0;0,031;0,0889;0;0,1173;0,2797;0;0,4406
"36";0,1035;0,0103;0,0268;0,0375;0;0;0;0;0,0315;0,093;0;0,0951;0,2964;0;0,4465
"37";0,105;0,0104;0,0293;0,0325;0;0;0;0;0,032;0,0971;0;0,0729;0,3131;0;0,4523
"38";0,1065;0,0106;0,0318;0,0288;0,0302;0;0;0;0,0124;0,0979;0;0,059;0,3242;0;0,4474
"39";0,108;0,0108;0,0342;0,0249;0,057;0;0;0;0;0,0971;0;0,0438;0,3357;0;0,4415
"40";0,1096;0,011;0,0361;0,0205;0,0777;0;0;0;0;0,0936;0;0,0262;0,3478;0;0,4342
"41";0,1112;0,0112;0,038;0,0161;0,0984;0;0;0;0;0,09;0;0,0087;0,3599;0;0,4269
"42";0,1128;0,0114;0,0403;0,0085;0,1315;0;0;0;0;0,0816;0;0;0,3789;0;0,3996
"43";0,1142;0,0115;0,043;0;0,1781;0;0;0;0;0,0672;0;0;0,4048;0;0,3499
"44";0,115;0,0117;0,0456;0;0,2305;0;0;0;0;0,0488;0;0;0,4306;0;0,2902
"45";0,1157;0,0119;0,0466;0;0,2828;0;0;0;0;0,0304;0;0;0,4564;0;0,2304
"46";0,1166;0,0121;0,046;0;0,3351;0;0;0;0;0,012;0;0;0,4822;0;0,1707
"47";0,1175;0,0123;0,0463;0;0,3852;0;0;0;0;0;0;0;0,5067;0;0,1081
"48";0,1195;0,0125;0,048;0;0,4312;0;0;0;0;0;0;0;0,5286;0;0,0401
"49";0,1236;0,0126;0,0487;0;0,3253;0;0;0;0;0;0;0;0,6747;0;0
"50";0,154;0,0128;0,0401;0;0;0;0;0;0;0;0;0;1;0;0
